music_id,category
0,0.3333333333333333
1,0.6666666666666666
2,0.6666666666666666
3,1.0
4,0.6666666666666666
5,0.6666666666666666
6,0.6666666666666666
7,0.0
8,0.6666666666666666
9,0.3333333333333333
10,0.6666666666666666
11,0.6666666666666666
12,0.3333333333333333
13,0.6666666666666666
14,0.6666666666666666
15,0.6666666666666666
16,0.6666666666666666
17,0.6666666666666666
18,0.6666666666666666
19,0.6666666666666666
20,0.3333333333333333
21,0.6666666666666666
22,0.6666666666666666
23,0.6666666666666666
24,0.6666666666666666
25,0.3333333333333333
26,0.6666666666666666
27,1.0
28,0.6666666666666666
29,0.6666666666666666
30,0.6666666666666666
31,0.6666666666666666
32,0.6666666666666666
33,0.6666666666666666
34,0.3333333333333333
35,0.6666666666666666
36,0.6666666666666666
37,1.0
38,0.6666666666666666
39,0.6666666666666666
40,0.3333333333333333
41,0.3333333333333333
42,0.3333333333333333
43,0.3333333333333333
44,0.6666666666666666
45,0.6666666666666666
46,0.6666666666666666
47,0.6666666666666666
48,1.0
49,0.6666666666666666
50,0.6666666666666666
51,1.0
52,0.0
53,0.0
54,0.6666666666666666
55,1.0
56,0.6666666666666666
57,0.3333333333333333
58,0.6666666666666666
59,0.3333333333333333
60,0.6666666666666666
61,0.6666666666666666
62,0.6666666666666666
63,0.6666666666666666
64,0.3333333333333333
65,0.6666666666666666
66,0.3333333333333333
67,0.6666666666666666
68,0.6666666666666666
69,0.3333333333333333
70,1.0
71,0.3333333333333333
72,0.6666666666666666
73,0.6666666666666666
74,0.3333333333333333
75,0.6666666666666666
76,0.6666666666666666
77,0.6666666666666666
78,0.3333333333333333
79,1.0
