music_id,prediction
0,5.232041434408803e-05
1,0.04745832170873183
2,1.0
3,1.0
4,1.0
5,0.00020850991917993882
6,2.032032263012729e-05
7,1.0
8,5.109595663745693e-07
9,7.657548521546246e-05
10,1.0
11,0.001973486848225571
12,0.6919537564026373
13,0.40124272176862347
14,1.0
15,1.0
16,1.0
17,1.0
18,0.003233337145617202
19,1.0
20,0.42812529866838317
21,1.0
22,0.14890789311667735
23,0.47710976555510776
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.0075379147440470294
30,1.0
31,4.074476575759923e-05
32,1.0
33,1.0
34,1.0
35,0.04616918995043225
36,1.0
37,0.038451408900209476
38,1.0
39,0.004424145909262716
40,0.0024458354708852856
41,1.0
42,1.0
43,0.055850265693147036
44,1.480560292840109e-05
45,1.0
46,1.3088777444096933e-06
47,0.8237664774808633
48,1.0
49,0.03845144125410375
50,1.0
51,0.14309182242123492
52,0.05763413914257068
53,3.261107146094139e-06
54,0.06756374334788148
55,0.0002840652153122506
56,0.002279316072344758
57,0.09855604153447729
58,1.0
59,0.0126659161988815
60,0.03529467217354912
61,0.009358939934251489
62,1.0
63,0.003233337145617202
64,1.0
65,0.0001312839276961758
66,0.8070465606195453
67,8.67241562087437e-06
68,0.0002590973470693855
69,0.004930170182005286
70,0.045756049094745774
71,0.17157132931169533
72,0.43573883427317045
73,0.12748217889720118
74,0.0729084664879773
75,1.0
76,0.03714762618514191
77,0.0004264121237154257
78,1.0
79,1.0
